date,MSDEWIN Index,macd_12_26
2002-10-04,79.126,-3.3511858974358972
2002-10-07,77.59,-3.2957820512820746
2002-10-08,78.191,-3.2236217948718036
2002-10-09,76.206,-3.2747307692307572
2002-10-10,78.257,-3.1083717948718004
2002-10-11,81.225,-2.960423076923078
2002-10-14,81.28,-2.92049999999999
2002-10-15,85.496,-2.55963461538461
2002-10-16,83.994,-1.9950384615384564
2002-10-17,86.575,-1.471538461538458
2002-10-18,86.868,-0.9815641025641071
2002-10-21,87.599,-0.3922884615384703
2002-10-22,86.378,0.2527371794871698
2002-10-23,86.139,0.9826923076923038
2002-10-24,86.075,1.5949230769230667
2002-10-25,86.709,2.3203269230769337
2002-10-28,86.256,2.8456025641025633
2002-10-29,84.572,2.9896346153846167
2002-10-30,85.836,3.144185897435875
2002-10-31,85.487,2.9895128205128003
2002-11-01,85.708,3.0548076923076906
2002-11-04,87.151,2.917884615384608
2002-11-05,87.508,2.6741794871794866
2002-11-06,87.926,2.472698717948731
2002-11-07,85.64,2.2478910256410245
2002-11-08,84.51,1.9493717948717801
2002-11-11,83.2,1.5530961538461554
2002-11-12,83.945,1.0783397435897655
2002-11-13,83.727,0.654666666666671
2002-11-14,85.556,0.37705128205128347
2002-11-15,86.071,0.09609615384616177
2002-11-18,85.5,-0.06724358974359745
2002-11-19,84.896,-0.2739871794871931
2002-11-20,86.396,-0.37151923076923765
2002-11-21,88.691,-0.45358974358973114
2002-11-22,88.745,-0.4688012820512881
2002-11-25,89.29,-0.2577884615384676
2002-11-26,87.597,-0.00046153846153629274
2002-11-27,89.818,0.4187307692307627
2002-11-28,89.879,0.7693846153846096
2002-11-29,89.68,1.1268141025640972
2002-12-02,89.546,1.3501987179487287
2002-12-03,88.006,1.444141025641045
2002-12-04,87.323,1.490249999999989
2002-12-05,86.288,1.5888653846153886
2002-12-06,86.084,1.5399038461538765
2002-12-09,84.423,1.2336602564102463
2002-12-10,85.058,1.0069102564102508
2002-12-11,85.36,0.7620256410256303
2002-12-12,84.459,0.63387179487178
2002-12-13,83.127,0.172942307692324
2002-12-16,84.959,-0.25432692307693117
2002-12-17,83.69,-0.7723397435897397
2002-12-18,82.527,-1.3027179487179268
2002-12-19,82.291,-1.7237371794872018
2002-12-20,83.04,-1.9838846153846248
2002-12-23,83.273,-2.1275192307692237
2002-12-24,82.826,-2.2961730769230684
2002-12-27,80.719,-2.444185897435915
2002-12-30,80.908,-2.5789423076923157
2002-12-31,80.879,-2.651897435897439
2003-01-02,83.815,-2.515948717948717
2003-01-03,83.721,-2.2522564102563933
2003-01-06,84.794,-2.158198717948707
2003-01-07,84.452,-1.8883141025641095
2003-01-08,83.495,-1.5621089743589636
2003-01-09,84.09,-1.1971923076923332
2003-01-10,83.9,-0.9083717948717691
2003-01-13,83.751,-0.7048846153846142
2003-01-14,84.066,-0.47628205128204115
2003-01-15,83.13,-0.15390384615383823
2003-01-16,82.989,0.13855128205129574
2003-01-17,81.34,0.2955448717948741
2003-01-20,80.835,0.20963461538461559
2003-01-21,79.879,0.10027564102564668
2003-01-22,78.804,-0.18139102564103382
2003-01-23,79.007,-0.4766794871794957
2003-01-24,77.123,-0.7062948717948814
2003-01-27,75.372,-1.1128717948717934
2003-01-28,75.816,-1.528423076923076
2003-01-29,75.972,-1.9336346153846193
2003-01-30,76.02,-2.334134615384613
2003-01-31,76.654,-2.619224358974364
2003-02-03,77.363,-2.8779423076923223
2003-02-04,75.43,-3.1670192307692275
2003-02-05,75.769,-3.3915320512820415
2003-02-06,74.94,-3.5746923076923167
2003-02-07,74.339,-3.582314102564098
2003-02-10,74.747,-3.592160256410253
2003-02-11,75.159,-3.385249999999999
2003-02-12,74.217,-3.087846153846158
2003-02-13,73.546,-2.8943589743589797
2003-02-14,74.964,-2.627358974358984
2003-02-17,75.753,-2.3362628205128146
2003-02-18,77.101,-2.0432435897435823
2003-02-19,76.045,-1.8445769230769287
2003-02-20,75.09,-1.5636794871794848
2003-02-21,75.791,-1.2849999999999966
2003-02-24,75.054,-1.0337307692307576
2003-02-25,74.629,-0.7708717948717805
2003-02-26,73.774,-0.6171474358974223
2003-02-27,74.62,-0.5011410256410187
2003-02-28,75.012,-0.28123717948717797
2003-03-03,74.529,-0.09955128205129427
2003-03-04,73.119,-0.16664743589743125
2003-03-05,72.98,-0.28865384615384926
2003-03-06,72.321,-0.5465641025641048
2003-03-07,71.82,-0.7371089743589749
2003-03-10,70.095,-0.9010897435897363
2003-03-11,69.6,-1.1184294871794975
2003-03-12,69.322,-1.3611730769230803
2003-03-13,72.335,-1.4202628205128178
2003-03-14,73.945,-1.3677435897435828
2003-03-17,76.448,-1.2965256410256387
2003-03-18,77.136,-1.211410256410261
2003-03-19,78.078,-1.0279294871794917
2003-03-20,78.078,-0.7631794871794852
2003-03-21,80.17,-0.418782051282065
2003-03-24,77.165,-0.09976923076922617
2003-03-25,77.642,0.31274358974357597
2003-03-26,77.622,0.9199551282051317
2003-03-27,76.966,1.4983653846153828
2003-03-28,76.371,2.036512820512826
2003-03-31,73.846,2.237237179487181
2003-04-01,74.709,2.3141730769230833
2003-04-02,77.154,2.2758910256410303
2003-04-03,77.378,2.157442307692307
2003-04-04,77.975,2.019820512820516
2003-04-07,79.315,1.957403846153852
2003-04-08,78.617,1.6707564102564163
2003-04-09,77.753,1.5415256410256433
2003-04-10,76.947,1.331032051282051
2003-04-11,77.174,1.1070448717948693
2003-04-14,78.008,0.9558782051282009
2003-04-15,78.801,0.8235320512820437
2003-04-16,77.726,0.8343269230769295
2003-04-17,78.352,0.7906025641025565
2003-04-22,79.063,0.6909166666666664
2003-04-23,79.87,0.67069871794871
2003-04-24,78.798,0.6488974358974389
2003-04-25,77.743,0.4945512820512903
2003-04-28,79.104,0.49567307692308304
2003-04-29,79.087,0.56803205128206
2003-04-30,78.604,0.7663461538461576
2003-05-02,79.084,0.8517051282051256
2003-05-05,78.839,0.8749166666666639
2003-05-06,79.407,0.8567628205128273
2003-05-07,78.946,0.8822756410256432
2003-05-08,77.426,0.7645320512820604
2003-05-09,78.118,0.5214743589743733
2003-05-12,78.53,0.26284615384615506
2003-05-13,78.613,0.19131410256410675
2003-05-14,78.74,0.22201282051281623
2003-05-15,79.413,0.19245512820513966
2003-05-16,79.035,0.1988910256410179
2003-05-19,76.392,0.10013461538461854
2003-05-20,76.609,-0.0621153846153959
2003-05-21,76.33,-0.2474679487179543
2003-05-22,77.173,-0.43359615384615324
2003-05-23,76.741,-0.5686153846153843
2003-05-26,76.289,-0.566749999999999
2003-05-27,77.168,-0.6244551282051418
2003-05-28,78.318,-0.6408141025641072
2003-05-29,77.921,-0.6545576923076908
2003-05-30,78.831,-0.6070128205128213
2003-06-02,79.858,-0.6106987179487078
2003-06-03,79.912,-0.6210384615384612
2003-06-04,81.117,-0.3047115384615324
2003-06-05,80.488,-0.03534615384614881
2003-06-06,81.68,0.2921794871794958
2003-06-09,80.536,0.5165833333333296
2003-06-10,81.432,0.8077692307692246
2003-06-11,82.113,1.189025641025637
2003-06-12,82.485,1.4959935897435912
2003-06-13,81.38,1.5990833333333114
2003-06-16,82.426,1.8088076923076812
2003-06-17,83.084,1.9880705128205278
2003-06-18,83.793,2.1167564102564143
2003-06-19,82.717,2.197544871794875
2003-06-20,83.254,2.2278974358974466
2003-06-23,82.7,2.271269230769235
2003-06-24,82.499,2.1046346153846116
2003-06-25,82.014,2.01991666666666
2003-06-26,83.025,1.895166666666654
2003-06-27,82.844,1.7379679487179516
2003-06-30,82.126,1.5009358974358946
2003-07-01,81.655,1.3174679487179475
2003-07-02,83.345,1.1564743589743642
2003-07-03,83.25,0.9806153846153762
2003-07-04,83.311,0.7331410256410322
2003-07-07,85.731,0.7189230769230761
2003-07-08,86.155,0.71848076923078
2003-07-09,85.587,0.7407948717948614
2003-07-10,84.506,0.7776987179487094
2003-07-11,85.242,0.8638525641025723
2003-07-14,86.189,0.9540961538461374
2003-07-15,86.015,1.0076153846153773
2003-07-16,85.63,1.1381538461538554
2003-07-17,84.74,1.294198717948717
2003-07-18,85.183,1.3435961538461498
2003-07-21,83.681,1.291012820512833
2003-07-22,83.997,1.2877564102564065
2003-07-23,83.687,1.0942307692307622
2003-07-24,83.571,0.8874358974358927
2003-07-25,83.988,0.7053012820512947
2003-07-28,84.544,0.6588525641025598
2003-07-29,83.988,0.5048141025640973
2003-07-30,84.383,0.28185256410256443
2003-07-31,85.481,0.1040064102563889
2003-08-01,84.826,-0.032262820512826806
2003-08-04,84.208,-0.12905769230771114
2003-08-05,83.384,-0.32735897435898664
2003-08-06,82.906,-0.440057692307704
2003-08-07,83.203,-0.5007628205128185
2003-08-08,84.087,-0.4996217948717998
2003-08-11,84.507,-0.46762179487180333
2003-08-12,85.348,-0.33955769230769306
2003-08-13,85.234,-0.24663461538462172
2003-08-14,86.19,-0.08632692307693901
2003-08-15,86.304,0.004602564102555107
2003-08-18,87.622,0.09148076923077042
2003-08-19,88.329,0.30108974358974194
2003-08-20,88.145,0.5472499999999911
2003-08-21,89.551,0.9103589743589708
2003-08-22,89.729,1.2870576923076982
2003-08-25,89.262,1.635089743589731
2003-08-26,89.283,1.8526282051281981
2003-08-27,89.375,2.051448717948702
2003-08-28,89.698,2.1827564102564168
2003-08-29,89.517,2.310980769230767
2003-09-01,90.094,2.4014679487179507
2003-09-02,91.586,2.57078846153847
2003-09-03,92.566,2.652865384615396
